loop_name,N,seconds,TFLOPS,AI
convergence_loop,201,0.0001068750,0.0007410713,0.1250
update_loop,201,0.0000526660,0.0045115634,0.1250
convergence_loop,201,0.0001343330,0.0005895945,0.1250
update_loop,201,0.0000590000,0.0040272203,0.1250
convergence_loop,201,0.0001052920,0.0007522129,0.1250
update_loop,201,0.0000404590,0.0058727601,0.1250
convergence_loop,201,0.0001181660,0.0006702605,0.1250
update_loop,201,0.0000437500,0.0054309943,0.1250
convergence_loop,201,0.0001335000,0.0005932734,0.1250
update_loop,201,0.0000597920,0.0039738761,0.1250
convergence_loop,201,0.0001088340,0.0007277321,0.1250
update_loop,201,0.0000702910,0.0033803190,0.1250
convergence_loop,201,0.0000835420,0.0009480501,0.1250
update_loop,201,0.0000371670,0.0063929292,0.1250
convergence_loop,201,0.0000886250,0.0008936756,0.1250
update_loop,201,0.0000562500,0.0042241067,0.1250
convergence_loop,201,0.0001090830,0.0007260710,0.1250
update_loop,201,0.0000544170,0.0043663929,0.1250
convergence_loop,201,0.0001095840,0.0007227515,0.1250
update_loop,201,0.0000560000,0.0042429643,0.1250
convergence_loop,201,0.0000758330,0.0010444266,0.1250
update_loop,201,0.0000448340,0.0052996833,0.1250
convergence_loop,201,0.0001126250,0.0007032364,0.1250
update_loop,201,0.0000438330,0.0054207104,0.1250
convergence_loop,201,0.0001019170,0.0007771226,0.1250
update_loop,201,0.0000586250,0.0040529808,0.1250
convergence_loop,201,0.0001140000,0.0006947544,0.1250
update_loop,201,0.0000515000,0.0046137087,0.1250
convergence_loop,201,0.0001145830,0.0006912195,0.1250
update_loop,201,0.0000477080,0.0049804226,0.1250
convergence_loop,201,0.0000850830,0.0009308793,0.1250
update_loop,201,0.0000580410,0.0040937613,0.1250
convergence_loop,201,0.0000988750,0.0008010316,0.1250
update_loop,201,0.0000473750,0.0050154301,0.1250
convergence_loop,201,0.0000805830,0.0009828624,0.1250
update_loop,201,0.0000366670,0.0064801047,0.1250
convergence_loop,201,0.0000734580,0.0010781943,0.1250
update_loop,201,0.0000322080,0.0073772355,0.1250
convergence_loop,201,0.0000633750,0.0012497357,0.1250
update_loop,201,0.0000530000,0.0044831321,0.1250
convergence_loop,201,0.0000684170,0.0011576363,0.1250
update_loop,201,0.0000226250,0.0105019227,0.1250
convergence_loop,201,0.0000608340,0.0013019364,0.1250
update_loop,201,0.0000333750,0.0071192809,0.1250
convergence_loop,201,0.0000557500,0.0014206637,0.1250
update_loop,201,0.0000342500,0.0069374015,0.1250
convergence_loop,201,0.0000941250,0.0008414555,0.1250
update_loop,201,0.0000367910,0.0064582642,0.1250
convergence_loop,201,0.0000514160,0.0015404154,0.1250
update_loop,201,0.0000411250,0.0057776535,0.1250
convergence_loop,201,0.0000566670,0.0013976741,0.1250
update_loop,201,0.0000424160,0.0056018012,0.1250
convergence_loop,201,0.0000662920,0.0011947445,0.1250
update_loop,201,0.0000463330,0.0051282239,0.1250
convergence_loop,201,0.0000830410,0.0009537698,0.1250
update_loop,201,0.0000252920,0.0093945121,0.1250
convergence_loop,201,0.0000710830,0.0011142186,0.1250
update_loop,201,0.0000230000,0.0103306957,0.1250
convergence_loop,201,0.0000611670,0.0012948485,0.1250
update_loop,201,0.0000245000,0.0096982041,0.1250
convergence_loop,201,0.0000483340,0.0016386395,0.1250
update_loop,201,0.0000245000,0.0096982041,0.1250
convergence_loop,201,0.0000636670,0.0012440040,0.1250
update_loop,201,0.0000247080,0.0096165614,0.1250
convergence_loop,201,0.0000667080,0.0011872939,0.1250
update_loop,201,0.0000207080,0.0114741163,0.1250
convergence_loop,201,0.0000696660,0.0011368817,0.1250
update_loop,201,0.0000240000,0.0099002500,0.1250
convergence_loop,201,0.0000727080,0.0010893162,0.1250
update_loop,201,0.0000233750,0.0101649626,0.1250
convergence_loop,201,0.0000694580,0.0011402862,0.1250
update_loop,201,0.0000204580,0.0116143318,0.1250
convergence_loop,201,0.0000569590,0.0013905090,0.1250
update_loop,201,0.0000247500,0.0096002424,0.1250
convergence_loop,201,0.0000737500,0.0010739254,0.1250
update_loop,201,0.0000194170,0.0122370088,0.1250
convergence_loop,201,0.0000764580,0.0010358890,0.1250
update_loop,201,0.0000322080,0.0073772355,0.1250
convergence_loop,201,0.0000653340,0.0012122631,0.1250
update_loop,201,0.0000388330,0.0061186620,0.1250
convergence_loop,201,0.0000542500,0.0014599447,0.1250
update_loop,201,0.0000322500,0.0073676279,0.1250
convergence_loop,201,0.0000619580,0.0012783176,0.1250
update_loop,201,0.0000360420,0.0065924754,0.1250
convergence_loop,201,0.0000596250,0.0013283354,0.1250
update_loop,201,0.0000315830,0.0075232245,0.1250
convergence_loop,201,0.0000499580,0.0015853717,0.1250
update_loop,201,0.0000305840,0.0077689642,0.1250
convergence_loop,201,0.0000542500,0.0014599447,0.1250
update_loop,201,0.0000350410,0.0067807996,0.1250
convergence_loop,201,0.0000568340,0.0013935672,0.1250
update_loop,201,0.0000338750,0.0070141993,0.1250
convergence_loop,201,0.0000628750,0.0012596740,0.1250
update_loop,201,0.0000192500,0.0123431688,0.1250
convergence_loop,201,0.0000467080,0.0016956838,0.1250
update_loop,201,0.0000182080,0.0130495387,0.1250
convergence_loop,201,0.0000353330,0.0022415872,0.1250
update_loop,201,0.0000180830,0.0131397445,0.1250
convergence_loop,201,0.0000332500,0.0023820150,0.1250
update_loop,201,0.0000187920,0.0126439974,0.1250
convergence_loop,201,0.0000348750,0.0022710251,0.1250
update_loop,201,0.0000168750,0.0140803556,0.1250
convergence_loop,201,0.0000349160,0.0022683583,0.1250
update_loop,201,0.0000184580,0.0128727923,0.1250
convergence_loop,201,0.0000324160,0.0024432996,0.1250
update_loop,201,0.0000189170,0.0125604483,0.1250
convergence_loop,201,0.0000344580,0.0022985083,0.1250
update_loop,201,0.0000183750,0.0129309388,0.1250
convergence_loop,201,0.0000355420,0.0022284058,0.1250
update_loop,201,0.0000172920,0.0137408050,0.1250
convergence_loop,201,0.0000491250,0.0016122545,0.1250
update_loop,201,0.0000189170,0.0125604483,0.1250
convergence_loop,201,0.0000464580,0.0017048086,0.1250
update_loop,201,0.0000177910,0.0133554044,0.1250
convergence_loop,201,0.0000342910,0.0023097023,0.1250
update_loop,201,0.0000190000,0.0125055789,0.1250
convergence_loop,201,0.0000345410,0.0022929851,0.1250
update_loop,201,0.0000181670,0.0130789894,0.1250
convergence_loop,201,0.0000396660,0.0019967226,0.1250
update_loop,201,0.0000171250,0.0138748029,0.1250
convergence_loop,201,0.0000351250,0.0022548612,0.1250
update_loop,201,0.0000183340,0.0129598560,0.1250
convergence_loop,201,0.0000337080,0.0023496499,0.1250
update_loop,201,0.0000307920,0.0077164848,0.1250
convergence_loop,201,0.0000392920,0.0020157284,0.1250
update_loop,201,0.0000270830,0.0087732526,0.1250
convergence_loop,201,0.0000358750,0.0022077213,0.1250
update_loop,201,0.0000165000,0.0144003636,0.1250
convergence_loop,201,0.0000340410,0.0023266649,0.1250
update_loop,201,0.0000177910,0.0133554044,0.1250
convergence_loop,201,0.0000331670,0.0023879760,0.1250
update_loop,201,0.0000408340,0.0058188274,0.1250
convergence_loop,201,0.0000436250,0.0018155186,0.1250
update_loop,201,0.0000170000,0.0139768235,0.1250
convergence_loop,201,0.0000560420,0.0014132615,0.1250
update_loop,201,0.0000190000,0.0125055789,0.1250
convergence_loop,201,0.0000523750,0.0015122100,0.1250
update_loop,201,0.0000171250,0.0138748029,0.1250
convergence_loop,201,0.0000485840,0.0016302075,0.1250
update_loop,201,0.0000322920,0.0073580453,0.1250
convergence_loop,201,0.0000453340,0.0017470772,0.1250
update_loop,201,0.0000323750,0.0073391815,0.1250
convergence_loop,201,0.0000670830,0.0011806568,0.1250
update_loop,201,0.0000240840,0.0098657200,0.1250
convergence_loop,201,0.0000660000,0.0012000303,0.1250
update_loop,201,0.0000321250,0.0073962957,0.1250
convergence_loop,201,0.0000658340,0.0012030562,0.1250
update_loop,201,0.0000312500,0.0076033920,0.1250
convergence_loop,201,0.0000552080,0.0014346109,0.1250
update_loop,201,0.0000280420,0.0084732187,0.1250
convergence_loop,201,0.0000495830,0.0015973620,0.1250
update_loop,201,0.0000200000,0.0118803000,0.1250
convergence_loop,201,0.0000520000,0.0015231154,0.1250
update_loop,201,0.0000200000,0.0118803000,0.1250
convergence_loop,201,0.0000376660,0.0021027452,0.1250
update_loop,201,0.0000347500,0.0068375827,0.1250
convergence_loop,201,0.0000379590,0.0020865144,0.1250
update_loop,201,0.0000200420,0.0118554037,0.1250
convergence_loop,201,0.0000570420,0.0013884857,0.1250
update_loop,201,0.0000197500,0.0120306835,0.1250
convergence_loop,201,0.0000641670,0.0012343105,0.1250
update_loop,201,0.0000220000,0.0108002727,0.1250
convergence_loop,201,0.0000402500,0.0019677516,0.1250
update_loop,201,0.0000365830,0.0064949840,0.1250
convergence_loop,201,0.0000725410,0.0010918239,0.1250
update_loop,201,0.0000313330,0.0075832509,0.1250
convergence_loop,201,0.0000383750,0.0020638958,0.1250
update_loop,201,0.0000344160,0.0069039400,0.1250
convergence_loop,201,0.0000473330,0.0016732935,0.1250
update_loop,201,0.0000359590,0.0066076921,0.1250
convergence_loop,201,0.0000475000,0.0016674105,0.1250
update_loop,201,0.0000232920,0.0102011850,0.1250
convergence_loop,201,0.0000505000,0.0015683564,0.1250
update_loop,201,0.0000217500,0.0109244138,0.1250
convergence_loop,201,0.0000633750,0.0012497357,0.1250
update_loop,201,0.0000247910,0.0095843653,0.1250
convergence_loop,201,0.0000684160,0.0011576532,0.1250
update_loop,201,0.0000312500,0.0076033920,0.1250
convergence_loop,201,0.0000587080,0.0013490836,0.1250
update_loop,201,0.0000416670,0.0057024984,0.1250
